serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
2154,R-41139610,04-Oct-2019,"ShenzhenEalinkTechnologyCo.,Ltd5F,A1BUILDING,HENGLIINDUSTRIALPARK,NO168,XIAKENGROAD,TONGLECOMMUNITY,LONGGANGDISTRICT,SHENZHEN,CHINA-518116",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,03-Oct-2021,-,CRABTREE,ACSVO002
2155,R-41094870,18-Jul-2018,"SHENZHENZHONGXISECURITYCO.,LTDRoomNo.1807,AngelBuilding,No.52,Bagua4thRoad,YuanlingStreet,FutianDistrict,Shenzhen,GUANGDONG,China-518029",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,17-Jul-2020,-,SNEOSLabel,"VNDI-AA2020M,VNDI-AA2013M,VNDI-AA2040M,VNECODI-I2013MP,VNECODI-I2020MP,VNECOVDI-I3020MPV,VNECODI-I2040MP,VNECOVDI-I3040MPV,VNDI-AA2050M,VNECODI-I2020MPE,VFB-AH6020MV,VNB-AA2013M,VNB-AA3013M,VNB-AA3020M,VNB-AA2020M,VNB-AA2040M,VNB-AA3040M,VFB-AH6040MV,VNB-AA2050M,VNB-AA3050M,VNECOB-I6020MPV,VNECOB-I3013MP,VNECOB-I3020MP,VNECOB-I3040MP,VNECOB-I6040MPV,VNECOB-I2020MPE,VNECOB-I2040MP(followingmodelsincludedon27Nov2018)VFPI-AH10/20/30/36X20MIRO,VFPI-AH10/20/30/36X50MIRO,VFPII10/20/30/36X20MIRO,VFPI-I10/20/30/36X40MIRO,VFPI-I10/20/30/36X4KMIRO,VFPII10/20/30/36X50MIRO"
2156,R-41134520,09-Aug-2019,"PalredTechnologyShenzhenCo.LtdQIANHAICOMPLEXA201,QIANWANROAD1,QIANHAISHENZHENHONGKONGCOOPERATIONZONE,SHENZHEN,P.R.CHINA-518116",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,08-Aug-2021,-,Xmate&Device,"Sight,Vue,ZoomSmart,Cop,Eagle"
2157,R-41110469,28-Nov-2018,"ShanghaiTongliInformationTechnologyCo.,Ltd.ROOM203,2NDFLOOR,BUILDING1,NO.1885DUNHUIROAD,MINHANGDISTRICT,SHANGHAICITY,CHINA-201108",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,27-Nov-2020,-,TROPICOOL,"TL3112(followingmodelsincludedon21Jan2019)TL1807,TL1809"
2158,R-41108707,14-Nov-2018,"HANSSECURITYHKLIMITEDSUITE913B,9/F,OCEANCENTRE,HARBOURCITY,5CANTONROAD,TSIMSHATSUI,KOWLOON,HONGKONG-999077",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,13-Nov-2020,-,advikDIGITALSOLUTIONS(LABEL),"ipcb2r2,ipcb2r3,ipcb2vfr6,ipcb2vfr6m,ipcb2vfr8,AD-B2HDR2,AD-B2HDR3,AD-B2HDR6,ipcd2r2,ipcd2vfr3,AD-IPFRC20WL"
2159,R-41135399,22-Aug-2019,"ZhejiangUniviewTechnologiesCo.,Ltd.2/FZONEB&1-3/FZONEABUILDING2,1-11/FSOUTHBLOCKBUILDING10,NO.88JIANGLINGRDBINJIANGDISTRICTHANGZHOUZHEJIANG310051CHINA",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,21-Aug-2021,-,PELCO,"ITV221-1RS,ITV421-1RS,IFV222-1RS,IFV422-1RS,IJV222-1ERS,IJV224-1ERS,IJV522-1ERS,IMV221-1ERS,IMV521-1ERS,IBV221-1ER,IBV521-1ER(followingmodelswithdrawnon29Jan2020)IJV224-1ERS,IJV522-1ERS,IFV422-1RS,IMV221-1ERS,IJV222-1ERS,ITV421-1RS,IFV222-1RS,IMV521-1ERS,ITV221-1RS(followingmodelsincludedon13Feb2020)IFV222-1RS,IFV422-1RS,IMV221-1ERS,IMV521-1ERS,ITV221-1RS,ITV421-1RS,IJV222-1ERS,IJV224-1ERS,IJV522-1ERS(followingmodelswithdrawnon13Mar2020)IBV521-1ER,IBV221-1ER(followingmodelsincludedon19Mar2020)IBV521-1ER,IBV221-1ER"
2160,R-41131296,11-Jul-2019,"HunanGaozhiScienceAndTechnologyCo.,Ltd.8F,6THBUILDINGXINCHENGTECH-ZONENO.588YUELUAVENUE.CHANGSHA,HUNAN,China-410006",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,10-Jul-2021,-,OVIU,"O6(followingmodelsincludedon07Feb2020)O7,O8"
2161,R-41148393,31-Dec-2019,"NexcomInternationalCoLtd5F,7F,8F,9F,10F&12F,NO.63SEC1,SANMINRD.,BANQIAODIST.,NEWTAIPEICITY,TAIWAN",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,30-Dec-2021,-,PELCO,"IME238-1IRS,IME338-1ERS,IME238-1ERS,IME332-1ERS,IME332-1IRS,IME338-1IRS,IME539-1ERS,IME539-1IRS,IME832-1ERS,IME832-1IRS,IME839-1ERS,IME839-1IRS(followingmodelsincludedon13Jan2020)IBE338-1ER,IBE238-1ER,IBE539-1ER,IBE839-1ER,IBE332-1ER,IBE832-1ER(followingmodelsincludedon13May2020)IXE33,IXE23,IXE53,IXE83"
2162,R-41139351,01-Oct-2019,"ACTICorporation7F,NO.1,ALLEY20,LANE407,SEC.2,TI-DINGBLVD.,NEIHUDISTRICT,TAIPEI,TAIWAN11493,R.O.C",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,30-Sep-2021,-,ACTICONNECTINGVISION,"B945,B949,I915,I98(followingmodelsincludedon23Oct2019)E33A,D42A,E32A,E34A,E36,E37,E42B,E43B,E44A,E46A(followingmodelsincludedon15Jun2020)Z84,Z83,Z76,Z94,Z95,A74,A811,A818,A96,A71"
2163,R-41110000,26-Nov-2018,"ShenzhenFujikamIndustryDevelopmentCo.,Ltd.6F,SUITEA,NANFANGBUILDING,NANSHANCLOUDVALLEYINNOVATIVEINDUSTRIALPARK,NO.1183,LIUXIANROAD,TAOYUANSTREET,NANSHANDISTRICT,SHENZHENCITY,CHINA-518055",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,25-Nov-2020,-,ebitcam,"829,FI-362B,FI-362C,836,CP2,F1,E2,EB01,EBB1-S,826"
2164,R-41145190,29-Nov-2019,"TECNOVIDEOS.R.L.VIASANL.MURIALDO8IT-36030VILLAVERLA,Italy",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,28-Nov-2021,-,TECNOVIDEO,"EX129WWP-M,EXPTZ,EXPTZXPTQ1785,EX129-CM,EX129XFQ1785IN"
2165,R-41099309,24-Aug-2018,"ShenzhenHuishiElectronicsCo.Ltd2NDFLOOR,NO.5THBLDG.,SZCGGUANLANAUTOMOTIVEELECTRONICSCHARACTERISTICINDUSTRIALPARK,NO.299GUANPINGRD.LONGHUA,SHENZHEN,GUANGDONG,CHINA-518110",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,23-Aug-2025,-,HEWITT,"HD-B-8005,HD-B-8000,HD-B-8001,HD-B-8002,HD-B-8003,HD-B-8004,HD-B-8006,HD-B-8007,HD-B-8008,HD-B-8009,HD-D-7005,HD-D-7000,HD-DPTZ-7001,HD-D-7002,HD-D-7003,HD-D-7004,HD-D-7006,HD-D-7007,HD-D-7008,HD-WI-FI-7009"
2166,R-41102385,26-Sep-2018,"TiandyTechnologiesCo.,Ltd.HUAYUANINDUSTRIALPARK(OUTSIDERING)NO.8RD2HAITAIHUAKE,TAINJIN,China-300384",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,25-Sep-2020,-,ALCONLINK,"AL-5003-MPC-HD2IDK,AL-5003-MPC-HD530XIRATUDK-NXG,AL-5003-MPC-HD244XIRATUDK-NXG,AL-5003-MPC-HD530XIRDK,AL-5003-MPC-HD233XIRATDK,AL-5003-MPC-HD220XIRDK,AL-5003-MPC-HD233XIRDK,AL-5002-MPC-HD4MV,AL-5002-MPC-HD4KFAT,AL-5002-MPC-HD8MV,AL-5002-MPC-HD5MVDK,AL-5002-MPC-HD2MV,AL-5002-MPC-HD5CMDK,AL-5002-MPC-HD4CM,AL-5002-MPC-HD2CMDK,AL-5002-MPC-HD2CM,AL-5002-MPC-HD2LM,AL-5001-MPC-HD8MV,AL-5001-MPC-HD5MVDK,AL-5001-MPC-HD4MV,AL-5001-MPC-HD2MVUDK,AL-5001-MPC-HD2LRUDK,AL-5001-MPC-HD2MV,AL-5001-MPC-HD5CMDK,AL-5001-MPC-HD220XIRDK,AL-5001-MPC-HD2CMDK,AL-5001-MPC-HD2LM"
2167,R-41090123,30-May-2018,"ShenzhenActManufacturingCo.,Ltd.NO.5BUILDING1-7LAYERANDNO.4BUILDING6-8LAYER,BEISHANINDUSTRIALZONE,YANTIANSTREET,YANTIANDISTRICT,SHENZHEN,GUANGDONG,China-518083",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,29-May-2022,-,HUAWEI,"IPC6125-WDL-FA,IPC6625-Z30-T,IPC6625-Z30-P(followingmodelsincludedon20Sep2018)IPC6525-Z30-S,IPC6525-Z30,IPC6625-Z30(followingmodelsincludedon11Dec2018)IPC6225-VRZ-ES,IPC6625-Z30-S,IPC6225-VRZ,IPC6225-VRZ(7-22MM)(followingmodelsincludedon23July2019)IPC6125-WDL-D"
2168,R-41110094,26-Nov-2018,"ScanfilPolandSp.Z.O.OWOJSKAPOLSKIEGO,NO107,PLACESIERADZ,CODE98-200,Poland",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,25-Nov-2020,-,AXIS,"AXISQ8685-E24VAC/DC,AXISQ8685-LE24VAC/DC(followingmodelsincludedon30Dec2019)AXISQ607450Hz,AXISQ607550Hz,AXISQ6074-E50Hz,AXISQ6075-E50Hz"
2169,R-41096296,24-Jul-2018,"TycoSafetyProductsCanadaLtd.95BRIDGELANDAVENUE,NORTHYORK,ONTARIOM6A1Y7CANADA",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,23-Jul-2022,-,illustra,"IPP02P6ANBTT,IPP02P6BCWTT,IPP02P6OCWTT,IPP02P6OSWTT,IPS02P6BCWTT,IPS02P6ANBTT,IPS02P6BSWTT,IPS02P6OSWTT,IPS02P6OCWTT,IPS02D2OCWIT,IPS03D2OCWIT,IPS03D0OCWTT,IPS03D2ICWIT,IPS02D2ICWTT,IPS02D3ICWIT,IPS03D3ICWIT,IPS05D3ICWIY,IPS05D2ICWIY,IPS05D2OCWIY(followingmodelsincludedon24Aug2018)ADCi825-F311,ADCi825-F312(followingmodelswithdrawnon21Jan2020)IPS03D2ICWIT,IPS03D3ICWIT,ADCi825-F312,IPS03D2OCWIT,IPS02D2ICWTT,IPS03D0OCWTT,IPS05D2ICWIY,IPS05D3ICWIY,IPS02D3ICWIT"
2170,R-41113573,27-Dec-2018,"ShenzhenLeksellSecurityTechnologyCo.,Ltd.6THFLOOR,BUILDINGB,DEZHONGINDUSTRIALPARK,BANTIANSTONEBACKROADNO.11,LONGGANGDISTRICT,SHENZHENCITY,CHINA-51800",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,26-Dec-2020,-,VIBOTON,"RTC01,RTC02,RTC03,RTC04,RTC05,RTC06,RTC07,RTC08,RTC09,RTC10"
2171,R-41130850,08-Jul-2019,"ShenzhenAotopElectronicIndustrialCo.,Ltd.2NDFLOOR,B2BUILDING,JIA'ANINDUSTRIALPARK,SHANGCHUANROAD,NO.72ZONE,BAO'ANDISTRICT,SHENZHEN,CHINA-518101",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,07-Jul-2021,-,TROPICOOL,"AC300,AC301,AC389AHD,AC386AHD,AC386"
2172,R-41112860,14-Dec-2018,"GwanKuenTechnologyCo.,Ltd.NO.224-2,LIAN-CHENGROAD,CHUNG-HODISTRICT,NEWTAIPEICITY,TAIWAN,REPUBLICOFCHINA-23553",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,13-Dec-2020,-,ONCAM,"EVO-05-LBK,EVO-05-LWK,EVO-05-LND,EVO-05-LMD,EVO-12-OBK,EVO-12-OWK,EVO-12-NND,EVO-12-NMD,EVO-05-LJN,EVO-05-LIN,EVO-05-LJD,EVO-05-LID,EVO-12-NCD,EVO-12NCD,EVO-180-WID,EVO-180-WJD,EVO-180-WED(followingmodelsincludedon19Jun2019)EVO-12NID,EVO-12NJD,EVO-05-LRD,EVO-05-LSD"
2173,R-41117889,11-Feb-2019,FlirIntelligentTransportationSystemsHOSPITAALWEG1B8510MARKEBELGIUM-08510,IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,10-Feb-2021,-,FLIRanddevice,"TrafiCamNarrowAngle,TrafiCamWideAngle,TrafiBotHD,TrafiCamX-StreamBPLWideAnglelens,TrafiCamX-StreamBPLNarrowAnglelens,TrafiCamX-StreamETHNarrowAnglelens,TrafiCamX-StreamETHWideAnglelens,TrafiOne156(MediumAngle),TrafiOne195(WideAngle),ITSSeriesAID,TrafiSenseBPL335,TrafiSenseBPL345,TrafiSenseBPL390,TrafiSenseETH345,TrafiSenseETH390(followingmodelsincludedon21Aug2019)TrafiBot2Alu,TrafiBot2Alu24V,TrafiBot2(followingmodelsincludedon13July2020)ITS617DUAL,TrafiCamXStreamBPL2NarrowAngle,TrafiCamXStreamBPL2WideAngle,TrafiSenseBPL2WideAngle"
2174,R-41125350,06-May-2019,"ShenzhenNatureElectronicTechCo.,Ltd3-4/F.,BLOCKB,EASTHAIWANGINDUSTRIALPARK,NO.369BULONGROAD,BANTIAN,LONGGANG,SHENZHEN,CHINA-518000",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,05-May-2021,-,NATURE,NVC-HD4516PIF30(followingmodelsincludedon06Jun2019)NVC-HD311IRP-E
2175,R-41106372,25-Oct-2018,"HanwhaTechwin(Tianjin)Co.,LtdNO.11WEILIUROAD,MICROELECTRONICSINDUSTRIALPARK,TIANJINECONOMICANDTECHNOLOGICALDEVELOPMENTZONE,TIANJINMUNICIPALITY,China-300385",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Cancelledw.e.f.09July2020,09-Jul-2020,-,WISENET,SNF-8010
2176,R-41161110,17-Jul-2020,"KumohsecurityCo.,Ltd.915,916-HO,122,JOMARU-RO385BEON-GIL,BUCHEON-SI,GYEONGGI-DO,REPUBLICOFKOREA,GYEONGGIDO,SouthKorea-504009",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,16-Jul-2022,-,SYLab,SY-KO-100
2177,R-41161640,20-Aug-2020,"ZHUHAIANLIANRUISHITECHNOLOGYCO.,LTD.NO.100KEJIU6THROAD,NATIONALHIGH-TECHZONE,ZHUHAI,China-519000",IS13252(Part1):2010/IEC60950-1:2005,CCTVCamera,Operative,19-Aug-2022,-,infinique,IHB703F-RT
